Index,Formula,Decomp,Gap,SLME,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
875,Rb0.01K0.04(Cs0.05(FA0.83MA0.17)0.95)0.95(I0.83Br0.17)3,1000,1.61,0.19,0.04,0.01,0.05,0.15,0.75,0,0,0,0,0,1,0,0.17,0.83,0,0.06,0,0.94,2.39,376.02,323.86,1.07,47.45,12.36,816.52,6.02,32.39,2.39,83.1,7.56,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,436.14,366.17,4.62,118.91,300.28,1030.75,7.34,19.85,2.71,49.94,4.83
876,Cs0.06FA0.79MA0.15PbI2.55Br0.45,1000,1.62,0.18,0,0,0.06,0.15,0.79,0,0,0,0,0,1,0,0.15,0.85,0,0.06,0,0.94,2.43,348.7,324.85,1.09,48.38,10.83,832.28,6.18,30.55,2.46,86.14,7.73,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
877,(FAPbI3)0.85(MAPbBr3)0.15,1000,1.63,0.1,0,0,0,0.15,0.85,0,0,0,0,0,1,0,0.15,0.85,0,0.06,0,0.94,2.48,311.2,328,1.04,43.11,8.61,860.68,6.44,28.23,2.57,88.3,7.85,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
878,(a-FAPbI3)0.5(MAPbI2Br)0.5,1000,1.65,0.08,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0.17,0.83,0,0.04,0,0.96,2.35,293,267.32,0.9,38.56,8.64,887.7,6.31,26.43,2.56,82,7.5,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,436.56,366.57,4.63,119.07,300.18,1030.32,7.35,19.87,2.71,50,4.83
879,Cs0.05(FA0.85MA0.15)0.95Pb(I0.85Br0.15)3,1000,1.65,0.12,0,0,0.05,0.14,0.81,0,0,0,0,0,1,0,0.15,0.85,0,0.06,0,0.94,2.44,343.13,326.94,1.08,47.64,10.47,837.32,6.23,30.23,2.48,86.72,7.77,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
880,MAPbI2.5Br0.5,1000,1.68,0.13,0,0,0,1,0,0,0,0,0,0,1,0,0.17,0.83,0.03,0.22,0.75,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,436.56,366.57,4.63,119.07,300.18,1030.32,7.35,19.87,2.71,50,4.83
881,KxCs0.05(FA0.85MA0.15)0.95Pb(I0.85Br0.15)3,1000,1.62,0.14,0.03,0,0.03,0.14,0.81,0,0,0,0,0,1,0,0.15,0.85,0,0.06,0,0.94,2.44,345.36,327.82,1.06,45.29,10.54,838.4,6.24,30.46,2.48,85.82,7.72,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
882,MAPbI1.5Br1.5,1000,1.89,0.09,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0.5,0.01,0.52,0.48,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.08,394.68,326.32,4.03,103.4,309.95,1074.15,6.52,17.81,2.81,44,4.5
883,FAPbBr2.43Cl0.57,1000,2.35,0.08,0,0,0,0,1,0,0,0,0,0,1,0.19,0.81,0,0.01,0.01,0,0.98,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.93,314.24,248.13,3.14,71.46,329.2,1161.03,4.89,13.87,3,31.58,3.81
884,MAPbCl3,1000,3.03,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.15,0.04,0.81,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
885,MAPbCl2.4Br0.6,1000,2.84,0.01,0,0,0,1,0,0,0,0,0,0,1,0.8,0.2,0,0.11,0.04,0.85,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.84,257.71,190.93,3.2,44.34,343.96,1228.86,3.63,11.11,3.12,20.6,3.2
886,(FA0.83MA0.17)0.95Cs0.05Pb(I0.9Br0.1)3,1000,1.58,1000,0,0,0.05,0.16,0.79,0,0,0,0,0,1,0,0.1,0.9,0,0.06,0,0.94,2.43,342.14,323.65,1.07,47.39,10.47,838.79,6.23,30.13,2.48,86.37,7.75,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.18,444.94,374.63,4.75,122.2,298.23,1021.55,7.51,20.28,2.69,51.2,4.9
887,(FA0.79MA0.16Cs0.05)Pb(I0.84Br0.16)3,1000,1.63,1000,0,0,0.05,0.16,0.79,0,0,0,0,0,1,0,0.16,0.84,0,0.06,0,0.94,2.43,341.93,323.64,1.07,47.37,10.46,837.78,6.22,30.11,2.48,86.32,7.74,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,437.4,367.38,4.64,119.38,299.99,1029.44,7.36,19.91,2.71,50.12,4.84
888,Cs0.1(MA0.17FA0.83)0.9Pb(I0.83Br0.17)3,1000,1.64,1000,0,0,0.1,0.15,0.75,0,0,0,0,0,1,0,0.17,0.83,0,0.06,0,0.94,2.4,373.54,322.23,1.12,51.85,12.3,813.57,6,32.09,2.39,84.65,7.65,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,436.14,366.17,4.62,118.91,300.28,1030.75,7.34,19.85,2.71,49.94,4.83
889,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,1000,1.64,1000,0,0,0.05,0.16,0.79,0,0,0,0,0,1,0,0.17,0.83,0,0.06,0,0.94,2.43,341.85,323.38,1.07,47.35,10.46,837.9,6.22,30.11,2.48,86.29,7.74,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,436.14,366.17,4.62,118.91,300.28,1030.75,7.34,19.85,2.71,49.94,4.83
890,Cs0.17FA0.83Pb(Br0.17I0.83)3,1000,1.66,1000,0,0,0.17,0,0.83,0,0,0,0,0,1,0,0.17,0.83,0,0.06,0,0.94,2.4,425.25,345.08,1.23,59.99,14.87,768.62,5.75,35.59,2.27,84.88,7.66,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,436.14,366.17,4.62,118.91,300.28,1030.75,7.34,19.85,2.71,49.94,4.83
891,CsSn0.5Ge0.5I3,1000,1.69,1000,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,1,0.12,0.64,0.24,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.01,2991.5,858.31,6.31,95.66,120.5,735.35,19.5,312.34,1.98,41,4.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
892,CsSn_0.75Ge_0.25Br_3,1000,1.9,1000,0,0,1,0,0,0,0,0,0.25,0.75,0,0,1,0,0,0.07,0.93,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.08,2933.75,681.72,6.81,107.19,120.75,721.98,13.35,301.35,1.97,45.5,4.75,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
893,CsSn_0.5Ge_0.5Br_3,1000,2,1000,0,0,1,0,0,0,0,0,0.5,0.5,0,0,1,0,0.01,0.13,0.86,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.01,2991.5,858.31,6.31,95.66,120.5,735.35,19.5,312.34,1.98,41,4.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
894,CsSn_0.25Ge_0.75Br_3,1000,2.17,1000,0,0,1,0,0,0,0,0,0.75,0.25,0,0,1,0,0.01,0.11,0.88,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,0.94,3049.25,1034.9,5.82,84.13,120.25,748.73,25.65,323.32,2,36.5,4.25,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
895,CsGeBr_3,1000,2.47,1000,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.01,0.11,0.88,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
