Index,Formula,Phase,Decomp,Gap,SLME,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
59,MASnBr_3,Ortho,-0.441,0.660,0.155,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
60,MASnCl_3,Ortho,-0.345,1.008,0.149,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
61,MAGeI_3,Ortho,-0.260,0.549,0.161,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
62,MAGeBr_3,Ortho,-0.496,0.709,0.160,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
63,MAGeCl_3,Ortho,-0.640,1.011,0.154,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
64,FAPbI_3,Ortho,-0.748,1.207,0.160,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
65,FAPbBr_3,Ortho,-1.088,1.490,0.147,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
66,FAPbCl_3,Ortho,-0.949,1.935,0.113,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
67,FASnI_3,Ortho,-0.792,0.699,0.159,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
68,FASnBr_3,Ortho,-1.115,0.920,0.157,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
69,FASnCl_3,Ortho,-1.141,1.343,0.144,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
70,FAGeI_3,Ortho,-0.654,0.997,0.159,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
71,FAGeBr_3,Ortho,-1.083,1.417,0.152,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
72,FAGeCl_3,Ortho,-1.433,1.819,0.132,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
73,CsPbI_3,Ortho,-0.375,2.441,0.053,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
74,CsPbBr_3,Ortho,-0.462,1.380,0.151,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
75,CsPbCl_3,Ortho,1.490,1.840,0.121,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
76,CsSnI_3,Ortho,-0.329,3.808,0.008,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
77,CsSnBr_3,Ortho,-0.467,2.899,0.023,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
78,CsSnCl_3,Ortho,1.268,3.382,0.006,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
79,CsGeI_3,Ortho,-0.406,3.644,0.002,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
80,CsGeBr_3,Ortho,-0.744,2.816,0.026,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
81,CsGeCl_3,Ortho,0.681,3.139,0.015,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
82,MAPbI_3,Hex,-0.283,2.176,0.129,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
83,MAPbBr_3,Hex,-0.337,2.732,0.059,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
84,MAPbCl_3,Hex,-0.017,3.267,0.021,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
85,MASnI_3,Hex,-0.260,1.581,0.157,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
86,MASnBr_3,Hex,-0.329,2.011,0.140,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
87,MASnCl_3,Hex,-0.211,2.458,0.092,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
88,MAGeI_3,Hex,-0.281,1.695,0.158,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
89,MAGeBr_3,Hex,-0.498,2.198,0.128,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
90,MAGeCl_3,Hex,-0.726,2.948,0.040,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
91,FAPbI_3,Hex,-0.873,1.660,0.158,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
92,FAPbBr_3,Hex,-1.293,1.943,0.132,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
93,FAPbCl_3,Hex,-1.229,2.344,0.097,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
