Index,Formula,Phase,Decomp,Gap,SLME,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
104,CsSnBr_3,Hex,-0.26,1.09,0.15,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
105,CsSnCl_3,Hex,1.37,1.4,0.13,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
106,CsGeI_3,Hex,-0.08,1.48,0.16,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
107,CsGeBr_3,Hex,-0.36,1.77,0.13,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
108,CsGeCl_3,Hex,1.11,2.44,0.06,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
109,MAPb_0.25Sn_0.75I_3,Cubic,-0.12,1.11,0.15,0,0,0,1,0,0,0,0,0,0.75,0.25,0,0,1,1,0,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.16,2665,529,8.31,141,118.25,710.75,6.59,262,2.05,58,5.25,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
110,MAPb_0.25Sn_0.75I_3,Tetra,-0.11,1.2,0.15,0,0,0,1,0,0,0,0,0,0.75,0.25,0,0,1,0,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.16,2665,529,8.31,141,118.25,710.75,6.59,262,2.05,58,5.25,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
111,MAPb_0.25Sn_0.75I_3,Ortho,-0.15,1.06,0.16,0,0,0,1,0,0,0,0,0,0.75,0.25,0,0,1,0,0,1,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.16,2665,529,8.31,141,118.25,710.75,6.59,262,2.05,58,5.25,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
112,MAPb_0.5Sn_0.5I_3,Cubic,-0.06,1.28,0.16,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,1,1,0,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.17,2450,553,9.3,163,115.5,712.5,5.98,234,2.15,66,5.5,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
113,MAPb_0.5Sn_0.5I_3,Tetra,-0.09,1.35,0.15,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,1,0,1,0,0,2.17,267,181,0.7,32.1,8.68,926,6.13,23.9,2.55,73,7,1.17,2450,553,9.3,163,115.5,712.5,5.98,234,2.15,66,5.5,2.2,458,387,4.93,127,295,1010,7.76,20.9,2.66,53,5
